Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,ORD-2021001,2022-07-19,2022-07-24,First Class,CUST-1001,Aarush Chander,Regular Buyer,India,Coimbatore,Tamil Nadu,901197,East,PROD-3001,Electronics,Smartphone,Smartphone - Mi,5830.65,2,0.2,-230.66
2,ORD-2021002,2021-01-29,2021-01-31,First Class,CUST-1002,Pihu Chaudhari,Prime Member,India,Howrah,West Bengal,150451,South,PROD-3002,Electronics,Earphones,Earphones - OnePlus,25185.19,4,0.2,1000.67
3,ORD-2021003,2022-07-19,2022-07-23,First Class,CUST-1003,Emir Balakrishnan,Bulk Buyer,India,Chennai,Tamil Nadu,267834,South,PROD-3003,Beauty & Personal Care,Lipstick,Lipstick - Mamaearth,24316.53,2,0.2,4830.83
4,ORD-2021004,2022-09-11,2022-09-16,Standard Class,CUST-1004,Priyansh Vasa,Bulk Buyer,India,Bhopal,Madhya Pradesh,41652,North,PROD-3004,Sports & Fitness,Cricket Bat,Cricket Bat - SG,9248.73,2,0.0,642.91
5,ORD-2021005,2021-07-23,2021-07-29,Second Class,CUST-1005,Jayesh Chakraborty,Bulk Buyer,India,Kanpur,Uttar Pradesh,89494,West,PROD-3005,Electronics,Smartwatch,Smartwatch - OnePlus,14365.07,3,0.2,754.51
6,ORD-2021006,2022-04-11,2022-04-17,Same Day,CUST-1006,Uthkarsh Madan,Bulk Buyer,India,New Delhi,Delhi,357585,West,PROD-3006,Fashion,Kurtis,Kurtis - Max,11670.67,2,0.1,-523.04
7,ORD-2021007,2021-08-06,2021-08-08,Standard Class,CUST-1007,Mannat Behl,Prime Member,India,Hyderabad,Telangana,115780,South,PROD-3007,Fashion,T-Shirt,T-Shirt - Biba,19651.49,2,0.2,1108.5
8,ORD-2021008,2021-12-02,2021-12-04,First Class,CUST-1008,Akarsh Brar,Regular Buyer,India,Jaipur,Rajasthan,295079,East,PROD-3008,Electronics,Power Bank,Power Bank - Realme,11417.88,2,0.05,1133.91
9,ORD-2021009,2023-06-08,2023-06-14,Standard Class,CUST-1009,Nirvaan Zacharia,Prime Member,India,Lucknow,Uttar Pradesh,837428,South,PROD-3009,Beauty & Personal Care,Shampoo,Shampoo - Patanjali,11413.19,4,0.2,-931.96
10,ORD-2021010,2021-08-17,2021-08-20,Same Day,CUST-1010,Rohan Mandal,Prime Member,India,Surat,Gujarat,620,East,PROD-3010,Sports & Fitness,Dumbbells,Dumbbells - Vector X,904.38,4,0.0,-84.51
11,ORD-2021011,2022-06-09,2022-06-10,Same Day,CUST-1011,Tejas Mahal,Regular Buyer,India,Howrah,West Bengal,97096,South,PROD-3011,Electronics,Smartwatch,Smartwatch - OnePlus,1102.15,4,0.2,15.18
12,ORD-2021012,2022-09-24,2022-09-30,Standard Class,CUST-1012,Armaan Trivedi,Bulk Buyer,India,Udaipur,Rajasthan,83851,West,PROD-3012,Beauty & Personal Care,Face Wash,Face Wash - Biotique,23225.56,2,0.0,3323.62
13,ORD-2021013,2023-04-09,2023-04-10,Standard Class,CUST-1013,Kiara Sarma,Regular Buyer,India,Udaipur,Rajasthan,44489,North,PROD-3013,Beauty & Personal Care,Perfume,Perfume - Patanjali,5878.12,3,0.0,418.55
14,ORD-2021014,2022-03-26,2022-04-01,Second Class,CUST-1014,Pihu Shroff,Prime Member,India,Hyderabad,Telangana,24962,South,PROD-3014,Electronics,Smartwatch,Smartwatch - Samsung,6108.97,1,0.05,649.3
15,ORD-2021015,2023-02-28,2023-03-05,First Class,CUST-1015,Badal Sharaf,Bulk Buyer,India,Kanpur,Uttar Pradesh,383147,South,PROD-3015,Electronics,Smartwatch,Smartwatch - OnePlus,11685.91,4,0.0,1231.01
16,ORD-2021016,2021-07-01,2021-07-07,Second Class,CUST-1016,Anahita Lal,Prime Member,India,Mysore,Karnataka,303786,East,PROD-3016,Beauty & Personal Care,Face Wash,Face Wash - Dabur,9483.61,1,0.05,800.24
17,ORD-2021017,2023-05-13,2023-05-18,Same Day,CUST-1017,Ojas Samra,Bulk Buyer,India,New Delhi,Delhi,349572,South,PROD-3017,Books,Biography,Biography - S Chand,2513.61,2,0.05,114.2
18,ORD-2021018,2022-07-15,2022-07-21,Second Class,CUST-1018,Anay Grover,Prime Member,India,Coimbatore,Tamil Nadu,547043,West,PROD-3018,Sports & Fitness,Dumbbells,Dumbbells - SG,16672.46,2,0.0,-1517.92
19,ORD-2021019,2022-06-16,2022-06-17,First Class,CUST-1019,Heer Gala,Prime Member,India,Lucknow,Uttar Pradesh,817168,East,PROD-3019,Electronics,Smartwatch,Smartwatch - Mi,10455.2,3,0.0,1122.18
20,ORD-2021020,2023-01-25,2023-01-26,Standard Class,CUST-1020,Arnav Kar,Prime Member,India,Chennai,Tamil Nadu,492223,West,PROD-3020,Home & Kitchen,Mixer Grinder,Mixer Grinder - Cello,9980.68,3,0.0,340.94
21,ORD-2021021,2021-05-16,2021-05-17,Standard Class,CUST-1021,Vidur Sarma,Regular Buyer,India,Bhopal,Madhya Pradesh,95833,North,PROD-3021,Beauty & Personal Care,Perfume,Perfume - Patanjali,12812.2,3,0.2,-560.13
22,ORD-2021022,2022-01-06,2022-01-11,Second Class,CUST-1022,Pranay Dada,Prime Member,India,Pune,Maharashtra,41632,East,PROD-3022,Books,Children,Children - Rupa Publications,3021.47,1,0.05,295.78
23,ORD-2021023,2023-03-17,2023-03-23,First Class,CUST-1023,Umang Sharma,Prime Member,India,Lucknow,Uttar Pradesh,928702,East,PROD-3023,Electronics,Smartwatch,Smartwatch - Samsung,23605.08,1,0.05,2478.84
24,ORD-2021024,2021-08-01,2021-08-07,Same Day,CUST-1024,Vritika Venkataraman,Regular Buyer,India,Mysore,Karnataka,513667,North,PROD-3024,Sports & Fitness,Tennis Racquet,Tennis Racquet - HRX,2723.39,1,0.0,40.5
25,ORD-2021025,2022-03-27,2022-04-02,Same Day,CUST-1025,Vritika Srinivas,Regular Buyer,India,New Delhi,Delhi,263093,West,PROD-3025,Books,Comics,Comics - Penguin India,6163.1,3,0.1,6.9
26,ORD-2021026,2023-01-20,2023-01-24,Same Day,CUST-1026,Zain Jaggi,Bulk Buyer,India,Hyderabad,Telangana,576762,North,PROD-3026,Fashion,Shoes,Shoes - Peter England,3243.45,1,0.05,60.91
